 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.57576     Clsurf  =  -0.11318
     CYsurf  =  -0.02239     Cmsurf  =  -0.14374
     CDsurf  =   0.02300     Cnsurf  =  -0.02160
     CDisurf =   0.02300     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   1.12856     CDsurf  =   0.04510

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
   107  26.1712  -8.7846  -0.2190   9.2440   5.8788  10.1159   0.0578   1.3847   1.1018   0.0524   0.0000  -0.0370   0.2726    0.284
   108  26.5709  -9.4230  -0.1406   8.9025   5.7875   9.9269   0.0468   1.4122   1.1237   0.0476   0.0000  -0.0354   0.2759    0.281
   109  26.9647 -10.0557  -0.0738   8.6530   5.3824   9.7279   0.0376   1.4944   1.1341   0.0429   0.0000  -0.0292   0.2707    0.276
   110  27.3514 -10.6811  -0.0191   8.4988   5.3831   9.5950   0.0380   1.5018   1.1396   0.0386   0.0000  -0.0259   0.2689    0.273
   111  27.7448 -11.3174   0.0366   8.3420   5.3704   9.4630   0.0378   1.5099   1.1458   0.0346   0.0000  -0.0232   0.2679    0.270
   112  28.1443 -11.9635   0.0931   8.1827   5.3448   9.3317   0.0381   1.5189   1.1526   0.0308   0.0000  -0.0211   0.2674    0.268
   113  28.5492 -12.6185   0.1504   8.0213   5.3066   9.1994   0.0389   1.5284   1.1598   0.0273   0.0000  -0.0194   0.2674    0.267
   114  28.9591 -13.2814   0.2084   7.8579   5.2564   9.0650   0.0400   1.5381   1.1672   0.0241   0.0000  -0.0182   0.2678    0.266
   115  29.3731 -13.9510   0.2670   7.6928   5.1948   8.9279   0.0411   1.5481   1.1748   0.0210   0.0000  -0.0172   0.2685    0.265
   116  29.7907 -14.6265   0.3261   7.5263   5.1222   8.7877   0.0422   1.5582   1.1825   0.0181   0.0000  -0.0164   0.2694    0.264
   117  30.2113 -15.3067   0.3856   7.3587   5.0393   8.6440   0.0431   1.5684   1.1902   0.0154   0.0000  -0.0159   0.2705    0.263
   118  30.6342 -15.9907   0.4454   7.1901   4.9468   8.4967   0.0437   1.5784   1.1978   0.0127   0.0000  -0.0155   0.2718    0.263
   119  31.0587 -16.6772   0.5055   7.0209   4.8453   8.3456   0.0442   1.5883   1.2053   0.0103   0.0000  -0.0153   0.2731    0.263
   120  31.4842 -17.3654   0.5657   6.8512   4.7356   8.1906   0.0444   1.5980   1.2126   0.0079   0.0000  -0.0153   0.2746    0.263
   121  31.9100 -18.0541   0.6259   6.6815   4.6182   8.0319   0.0443   1.6073   1.2197   0.0057   0.0000  -0.0155   0.2762    0.263
   122  32.3355 -18.7423   0.6861   6.5119   4.4941   7.8696   0.0441   1.6164   1.2266   0.0037   0.0000  -0.0160   0.2780    0.263
   123  32.7600 -19.4289   0.7462   6.3426   4.3638   7.7041   0.0436   1.6250   1.2331   0.0019   0.0000  -0.0169   0.2801    0.264
   124  33.1829 -20.1128   0.8060   6.1740   4.2281   7.5358   0.0430   1.6332   1.2394   0.0007   0.0000  -0.0184   0.2827    0.265
   125  33.6034 -20.7930   0.8655   6.0064   4.0877   7.3654   0.0424   1.6409   1.2452   0.0005   0.0000  -0.0210   0.2861    0.267
   126  34.0211 -21.4685   0.9246   5.8399   3.9435   7.1939   0.0417   1.6478   1.2504   0.0029   0.0000  -0.0252   0.2909    0.270
   127  34.4351 -22.1382   0.9832   5.6748   3.7961   7.0226   0.0411   1.6525   1.2540   0.0150   0.0000  -0.0328   0.2985    0.276
   128  34.7955 -22.7210   1.0342   5.5312   2.7734   6.8664   0.0407   1.6761   1.2720  -0.0640   0.0000  -0.0541   0.3174    0.293
   129  35.1476 -23.2905   1.0840   5.3908   3.4568   6.7118   0.0405   1.6748   1.2709  -0.0371   0.0000  -0.0611   0.3240    0.298
   130  35.5398 -23.9248   1.1395   5.2344   3.3083   6.5438   0.0405   1.6797   1.2747  -0.0289   0.0000  -0.0641   0.3277    0.300
   131  35.9260 -24.5495   1.1942   5.0805   3.1592   6.3751   0.0407   1.6853   1.2789  -0.0261   0.0000  -0.0655   0.3300    0.301
   132  36.3056 -25.1635   1.2479   4.9291   3.0101   6.2066   0.0410   1.6909   1.2832  -0.0253   0.0000  -0.0662   0.3315    0.302
   133  36.6781 -25.7659   1.3006   4.7806   2.8615   6.0384   0.0416   1.6962   1.2872  -0.0255   0.0000  -0.0664   0.3325    0.302
   134  37.0428 -26.3559   1.3522   4.6352   2.7141   5.8706   0.0424   1.7010   1.2908  -0.0261   0.0000  -0.0663   0.3331    0.301
   135  37.3992 -26.9323   1.4027   4.4931   2.5684   5.7030   0.0435   1.7048   1.2938  -0.0271   0.0000  -0.0659   0.3334    0.301
   136  37.7468 -27.4945   1.4518   4.3545   2.4247   5.5354   0.0450   1.7077   1.2959  -0.0281   0.0000  -0.0653   0.3333    0.300
   137  38.0850 -28.0415   1.4997   4.2197   2.2835   5.3676   0.0467   1.7091   1.2970  -0.0293   0.0000  -0.0645   0.3329    0.300
   138  38.4133 -28.5725   1.5461   4.0888   2.1452   5.1992   0.0488   1.7087   1.2967  -0.0305   0.0000  -0.0635   0.3319    0.299
   139  38.7312 -29.0866   1.5911   3.9621   2.0101   5.0297   0.0513   1.7062   1.2948  -0.0318   0.0000  -0.0621   0.3303    0.298
