 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =  -0.00177     Clsurf  =   0.00504
     CYsurf  =   0.00023     Cmsurf  =   0.00196
     CDsurf  =   0.00091     Cnsurf  =  -0.00019
     CDisurf =   0.00091     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =  -0.00349     CDsurf  =   0.00178

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
   116  29.7907 -14.6265   0.3261   7.5263   5.1222  -0.2427  -0.0040  -0.0420  -0.0323   0.0002   0.0000  -0.0139   0.0050   -0.180
   117  30.2113 -15.3067   0.3856   7.3587   5.0393  -0.2645  -0.0041  -0.0468  -0.0360   0.0002   0.0000  -0.0140   0.0044   -0.140
   118  30.6342 -15.9907   0.4454   7.1901   4.9468  -0.2850  -0.0042  -0.0517  -0.0397   0.0003   0.0000  -0.0142   0.0038   -0.109
   119  31.0587 -16.6772   0.5055   7.0209   4.8453  -0.3047  -0.0043  -0.0566  -0.0434   0.0003   0.0000  -0.0145   0.0032   -0.084
   120  31.4842 -17.3654   0.5657   6.8512   4.7356  -0.3237  -0.0046  -0.0616  -0.0473   0.0003   0.0000  -0.0148   0.0027   -0.064
   121  31.9100 -18.0541   0.6259   6.6815   4.6182  -0.3424  -0.0049  -0.0668  -0.0513   0.0003   0.0000  -0.0153   0.0022   -0.048
   122  32.3355 -18.7423   0.6861   6.5119   4.4941  -0.3609  -0.0053  -0.0722  -0.0554   0.0003   0.0000  -0.0158   0.0018   -0.036
   123  32.7600 -19.4289   0.7462   6.3426   4.3638  -0.3792  -0.0059  -0.0779  -0.0598   0.0004   0.0000  -0.0167   0.0016   -0.029
   124  33.1829 -20.1128   0.8060   6.1740   4.2281  -0.3972  -0.0066  -0.0839  -0.0644   0.0003   0.0000  -0.0179   0.0017   -0.028
   125  33.6034 -20.7930   0.8655   6.0064   4.0877  -0.4147  -0.0075  -0.0900  -0.0691   0.0003   0.0000  -0.0200   0.0024   -0.039
